INDICADORES BÁSICOS DE TENENCIA Y USO DE TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN - TIC EN HOGARES Y PERSONAS DE 5 Y MÁS AÑOS DE EDAD 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet,Actividad de uso de Internet
,,,Total personas de 5 y más años que usaron Internet,Total personas de 5 y más años que usaron Internet,Total personas de 5 y más años que usaron Internet,"Obtener Información 
(No incluye búsqueda de información con fines de educación)","Obtener Información 
(No incluye búsqueda de información con fines de educación)","Obtener Información 
(No incluye búsqueda de información con fines de educación)","Obtener Información 
(No incluye búsqueda de información con fines de educación)",Correo y mensajería,Correo y mensajería,Correo y mensajería,Correo y mensajería,Redes sociales,Redes sociales,Redes sociales,Redes sociales,Comprar/Ordenar productos o servicios,Comprar/Ordenar productos o servicios,Comprar/Ordenar productos o servicios,Comprar/Ordenar productos o servicios,Banca electrónica u otros servicios financieros,Banca electrónica u otros servicios financieros,Banca electrónica u otros servicios financieros,Banca electrónica u otros servicios financieros,Educación y aprendizaje,Educación y aprendizaje,Educación y aprendizaje,Educación y aprendizaje,Trámites con organismos gubernamentales,Trámites con organismos gubernamentales,Trámites con organismos gubernamentales,Trámites con organismos gubernamentales,"Descargar software, imágenes, juegos, música o jugar en línea","Descargar software, imágenes, juegos, música o jugar en línea","Descargar software, imágenes, juegos, música o jugar en línea","Descargar software, imágenes, juegos, música o jugar en línea",Consulta de medios de comunicación,Consulta de medios de comunicación,Consulta de medios de comunicación,Consulta de medios de comunicación,"Televisión, videos, películas u otro contenido audiovisual para entretenimiento","Televisión, videos, películas u otro contenido audiovisual para entretenimiento","Televisión, videos, películas u otro contenido audiovisual para entretenimiento","Televisión, videos, películas u otro contenido audiovisual para entretenimiento",Buscar Trabajo,Buscar Trabajo,Buscar Trabajo,Buscar Trabajo,"Servicios en la nube (guardar información, editar archivos, etc.)","Servicios en la nube (guardar información, editar archivos, etc.)","Servicios en la nube (guardar información, editar archivos, etc.)","Servicios en la nube (guardar información, editar archivos, etc.)",Vender productos o servicios,Vender productos o servicios,Vender productos o servicios,Vender productos o servicios,Trabajar como requisito dentro de su empleo o actividad económica de independiente,Trabajar como requisito dentro de su empleo o actividad económica de independiente,Trabajar como requisito dentro de su empleo o actividad económica de independiente,Trabajar como requisito dentro de su empleo o actividad económica de independiente,Realizar llamadas o video llamadas (telefonía por Internet),Realizar llamadas o video llamadas (telefonía por Internet),Realizar llamadas o video llamadas (telefonía por Internet),Realizar llamadas o video llamadas (telefonía por Internet),Publicar o intercambiar opiniones sobre las características y calidad de un bien o servicio,Publicar o intercambiar opiniones sobre las características y calidad de un bien o servicio,Publicar o intercambiar opiniones sobre las características y calidad de un bien o servicio,Publicar o intercambiar opiniones sobre las características y calidad de un bien o servicio,"Subir contenido propio a un sitio web para ser compartido (texto, imágenes, videos, música, audios, fotos, software, etc.)","Subir contenido propio a un sitio web para ser compartido (texto, imágenes, videos, música, audios, fotos, software, etc.)","Subir contenido propio a un sitio web para ser compartido (texto, imágenes, videos, música, audios, fotos, software, etc.)","Subir contenido propio a un sitio web para ser compartido (texto, imágenes, videos, música, audios, fotos, software, etc.)",Otro servicio,Otro servicio,Otro servicio,Otro servicio
DEPARTAMENTO,ÁREA,SEXO,TOTAL,IC+- b/,Cve c/,TOTAL,IC+-,Cve,Proporción,TOTAL,IC+-,Cve,Proporción,TOTAL,IC+-,Cve,Proporción,TOTAL,IC+-,Cve,Proporción,TOTAL,IC+-,Cve,Proporción,TOTAL,IC+-,Cve,Proporción,TOTAL,IC+-,Cve,Proporción,TOTAL,IC+-,Cve,Proporción,TOTAL,IC+-,Cve,Proporción,TOTAL,IC+-,Cve,Proporción,TOTAL,IC+-,Cve,Proporción,TOTAL,IC+-,Cve,Proporción,TOTAL,IC+-,Cve,Proporción,TOTAL,IC+-,Cve,Proporción,TOTAL,IC+-,Cve,Proporción,TOTAL,IC+-,Cve,Proporción,TOTAL,IC+-,Cve,Proporción,TOTAL,IC+-,Cve,Proporción
TOTAL NACIONAL,TOTAL,TOTAL,37.760,253,"0,3%",17.092,381,"1,1%","45,3",18.678,333,"0,9%","49,5",31.275,255,"0,4%","82,8",5.849,281,"2,5%","15,5",8.431,311,"1,9%","22,3",11.643,288,"1,3%","30,8",3.681,236,"3,3%","9,7",8.806,282,"1,6%","23,3",7.390,272,"1,9%","19,6",15.865,362,"1,2%","42,0",2.325,132,"2,9%","6,2",4.767,252,"2,7%","12,6",1.611,108,"3,4%","4,3",2.885,179,"3,2%","7,6",17.095,396,"1,2%","45,3",1.962,142,"3,7%","5,2",4.378,241,"2,8%","11,6",26,12,"22,4%","0,1"
TOTAL NACIONAL,TOTAL,HOMBRE,18.126,147,"0,4%",8.316,201,"1,2%","45,9",9.051,183,"1,0%","49,9",14.782,148,"0,5%","81,6",2.902,156,"2,7%","16,0",4.299,170,"2,0%","23,7",5.563,165,"1,5%","30,7",1.826,129,"3,6%","10,1",4.763,166,"1,8%","26,3",3.715,152,"2,1%","20,5",7.835,195,"1,3%","43,2","1159,9","75,6","3,3%","6,4","2413,0","143,3","3,0%","13,3","833,3","69,6","4,3%","4,6","1507,7","108,1","3,7%","8,3","8083,7","203,5","1,3%","44,6","1020,4","89,3","4,5%","5,6","2128,6","134,4","3,2%","11,7","12,4","7,7","31,6%","0,1"
TOTAL NACIONAL,TOTAL,MUJER,19.634,141,"0,4%",8.776,209,"1,2%","44,7",9.626,183,"1,0%","49,0",16.493,147,"0,5%","84,0",2.947,150,"2,6%","15,0",4.132,166,"2,0%","21,0",6.080,161,"1,3%","31,0",1.855,126,"3,5%","9,4",4.042,151,"1,9%","20,6",3.676,150,"2,1%","18,7",8.030,203,"1,3%","40,9","1165,3","83,4","3,7%","5,9","2354,1","133,2","2,9%","12,0","778,0","62,0","4,1%","4,0","1376,8","94,5","3,5%","7,0","9011,0","220,5","1,2%","45,9","941,7","74,5","4,0%","4,8","2249,7","125,8","2,9%","11,5","13,9","7,5","27,4%","0,1"
TOTAL NACIONAL,CABECERA,TOTAL,31.083,245,"0,4%",14.757,380,"1,3%","47,5",16.937,331,"1,0%","54,5",26.004,249,"0,5%","83,7",5.588,281,"2,6%","18,0",7.882,310,"2,0%","25,4",9.768,286,"1,5%","31,4",3.488,236,"3,4%","11,2",7.529,281,"1,9%","24,2",6.641,272,"2,1%","21,4",13.519,361,"1,4%","43,5","2134,0","131,7","3,1%","6,9","4494,5","252,7","2,9%","14,5","1499,8","107,7","3,7%","4,8","2756,5","178,8","3,3%","8,9","14447,5","394,9","1,4%","46,5","1768,3","140,3","4,0%","5,7","3832,4","240,2","3,2%","12,3","19,6","11,3","29,4%","0,1"
TOTAL NACIONAL,CABECERA,HOMBRE,14.744,142,"0,5%",7.133,200,"1,4%","48,4",8.185,181,"1,1%","55,5",12.147,144,"0,6%","82,4",2.755,155,"2,9%","18,7",3.981,169,"2,2%","27,0",4.655,163,"1,8%","31,6",1.731,129,"3,8%","11,7",4.046,165,"2,1%","27,4",3.323,152,"2,3%","22,5",6.611,194,"1,5%","44,8","1056,8","75,2","3,6%","7,2","2268,9","143,3","3,2%","15,4","774,2","69,4","4,6%","5,3","1433,4","107,9","3,8%","9,7","6764,0","202,0","1,5%","45,9","917,5","88,3","4,9%","6,2","1854,6","133,4","3,7%","12,6","9,6","7,5","40,0%","0,1"
TOTAL NACIONAL,CABECERA,MUJER,16.339,136,"0,4%",7.624,208,"1,4%","46,7",8.752,181,"1,1%","53,6",13.857,144,"0,5%","84,8",2.833,150,"2,7%","17,3",3.901,165,"2,2%","23,9",5.113,159,"1,6%","31,3",1.757,126,"3,7%","10,8",3.483,150,"2,2%","21,3",3.318,150,"2,3%","20,3",6.908,202,"1,5%","42,3","1077,2","83,3","3,9%","6,6","2225,6","133,3","3,1%","13,6","725,6","61,8","4,3%","4,4","1323,1","94,4","3,6%","8,1","7683,5","219,7","1,5%","47,0","850,8","73,9","4,4%","5,2","1977,9","125,2","3,2%","12,1","10,1","7,3","36,8%","0,1"
TOTAL NACIONAL,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,6.677,69,"0,5%",2.335,62,"1,4%","35,0",1.741,50,"1,5%","26,1",5.271,63,"0,6%","78,9",261,19,"3,7%","3,9",550,31,"2,9%","8,2",1.875,46,"1,2%","28,1",193,17,"4,4%","2,9",1.277,45,"1,8%","19,1",749,33,"2,2%","11,2",2.347,60,"1,3%","35,1","191,2","13,8","3,7%","2,9","272,6","20,6","3,9%","4,1","111,5","11,1","5,1%","1,7","128,0","12,7","5,1%","1,9","2647,2","61,5","1,2%","39,6","193,8","22,6","5,9%","2,9","545,9","33,5","3,1%","8,2","6,6","2,4","18,7%","0,1"
TOTAL NACIONAL,CENTROS POBLADOS Y RURAL DISPERSO,HOMBRE,3.382,41,"0,6%",1.183,36,"1,5%","35,0",866,30,"1,8%","25,6",2.635,37,"0,7%","77,9",147,12,"4,3%","4,3",318,19,"3,1%","9,4",908,28,"1,6%","26,9",95,10,"5,6%","2,8",718,28,"2,0%","21,2",392,20,"2,6%","11,6",1.225,35,"1,5%","36,2","103,1","9,9","4,9%","3,0","144,1","13,0","4,6%","4,3","59,1","7,7","6,7%","1,7","74,3","9,5","6,5%","2,2","1319,7","35,9","1,4%","39,0","102,9","14,2","7,1%","3,0","274,1","19,9","3,7%","8,1","2,8","1,6","29,6%","0,1"
