DEPARTAMENTO,ÁREA,Total hogares sin conexión a Internet,,,,Razón principal por la que el hogar no tiene conexión a Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Es muy costoso,,,,,No lo considera necesario,,,,,No tiene un dispositivo para conectarse,,,,,"Puede acceder desde el trabajo, la institución educativa, la vivienda de otra persona",,,,,Puede conectarse sin costo desde lugares de acceso público,,,,,No sabe usarlo,,,,,No hay cobertura en la zona,,,,,"Aunque en la zona hay cobertura, la calidad del servicio es deficiente",,,,Otra,,,
,,TOTAL,IC+-  b/,Cve c/,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,TOTAL,IC+-, Cve , Proporción 
TOTAL NACIONAL,TOTAL,6.495,158,"1,2%",,3.225,111,"1,8%","49,7",,2.031,70,"1,8%","31,3",,299,26,"4,5%","4,6",,152,23,"7,9%","2,3",,38,16,"21,4%","0,6",,336,24,"3,7%","5,2",,287,20,"3,6%","4,4",,75,12,"7,8%","1,2",51,11,"11,1%","0,8"
,CABECERA,4.119,155,"1,9%",,2.258,109,"2,5%","54,8",,1.279,67,"2,7%","31,0",,152,25,"8,2%","3,7",,124,23,"9,3%","3,0",,24,16,"32,7%","0,6",,180,23,"6,4%","4,4",,29,10,"17,1%","0,7",,28,9,"17,1%","0,7",44,11,"12,7%","1,1"
,CENTROS POBLADOS Y RURAL DISPERSO,2.376,35,"0,8%",,967,26,"1,4%","40,7",,752,23,"1,5%","31,7",,147,11,"3,7%","6,2",,28,6,"10,4%","1,2",,14,4,"13,8%","0,6",,155,10,"3,1%","6,5",,258,18,"3,5%","10,9",,47,7,"7,3%","2,0",7,2,"15,7%","0,3"
AMAZONAS,TOTAL,19,1,"2,9%",,5,1,"7,1%","28,2",,8,1,"6,1%","41,1",,2,0,"12,5%","10,3",,1,0,"20,7%","5,3",,0,0,"50,8%","0,4",,0,0,"22,8%","2,5",,2,1,"17,9%","8,1",,1,0,"23,4%","3,6",0,0,"52,0%","0,5"
,CABECERA,11,1,"4,0%",,4,1,"7,3%","39,7",,4,1,"8,3%","37,8",,1,0,"17,9%","5,5",,1,0,"20,7%","9,4",,0,0,"50,8%","0,8",,0,0,"34,8%","1,1",,0,0,"47,8%","1,0",,0,0,"29,8%","3,8",0,0,"52,0%","0,9"
,CENTROS POBLADOS Y RURAL DISPERSO,8,1,"4,4%",,1,0,"19,4%","13,3",,4,1,"9,1%","45,3",,1,0,"16,1%","16,5",,0,0,.,-,,0,0,.,-,,0,0,"28,4%","4,2",,1,1,"18,9%","17,4",,0,0,"37,5%","3,3",0,0,.,-
ANTIOQUIA,TOTAL,730,79,"5,5%",,377,60,"8,1%","51,7",,238,32,"6,9%","32,6",,24,12,"26,0%","3,3",,28,14,"26,4%","3,8",,7,7,"57,3%","0,9",,30,8,"13,2%","4,0",,15,8,"25,7%","2,1",,11,4,"21,1%","1,5",1,2,"76,6%","0,2"
,CABECERA,527,78,"7,6%",,290,60,"10,5%","55,1",,171,31,"9,3%","32,5",,19,12,"32,2%","3,7",,21,14,"33,3%","4,0",,5,7,"75,0%","0,9",,15,7,"22,6%","2,9",,0,0,.,-,,4,3,"36,0%","0,7",1,2,"76,6%","0,2"
,CENTROS POBLADOS Y RURAL DISPERSO,203,13,"3,2%",,87,9,"5,5%","42,8",,67,8,"6,2%","32,8",,5,2,"22,6%","2,4",,7,4,"31,1%","3,3",,2,1,"40,7%","0,8",,14,4,"12,6%","7,0",,15,8,"25,7%","7,5",,7,4,"26,3%","3,4",0,0,.,-
ARAUCA,TOTAL,72,3,"2,4%",,27,3,"5,8%","36,9",,32,3,"4,3%","44,2",,1,0,"24,7%","1,3",,1,1,"25,4%","1,6",,0,0,"63,2%","0,3",,3,1,"12,5%","4,7",,6,2,"12,6%","9,0",,1,1,"24,9%","1,8",0,0,"71,7%","0,1"
,CABECERA,36,3,"4,4%",,16,3,"8,3%","43,3",,16,2,"6,5%","43,7",,0,0,"36,7%","1,4",,1,1,"26,5%","3,0",,0,0,.,-,,2,1,"17,4%","5,3",,0,0,"40,2%","1,1",,1,0,"34,0%","1,9",0,0,"71,7%","0,3"
,CENTROS POBLADOS Y RURAL DISPERSO,36,2,"2,7%",,11,2,"8,7%","30,5",,16,2,"6,0%","44,6",,0,0,"34,2%","1,3",,0,0,"69,6%","0,2",,0,0,"63,2%","0,6",,2,1,"18,1%","4,2",,6,2,"13,2%","16,9",,1,0,"36,5%","1,6",0,0,.,-
ATLÁNTICO,TOTAL,325,32,"5,1%",,233,29,"6,4%","71,7",,57,15,"13,2%","17,4",,9,4,"21,8%","2,8",,4,3,"36,5%","1,3",,1,1,"91,4%","0,2",,6,3,"24,0%","1,9",,9,4,"22,2%","2,9",,4,3,"38,3%","1,3",2,2,"42,2%","0,7"
,CABECERA,300,32,"5,5%",,218,29,"6,9%","72,6",,53,15,"14,1%","17,7",,8,4,"24,3%","2,7",,4,3,"37,5%","1,4",,0,1,"99,9%","0,2",,5,3,"27,3%","1,8",,6,4,"34,4%","2,0",,3,3,"46,8%","1,1",2,2,"46,9%","0,6"
,CENTROS POBLADOS Y RURAL DISPERSO,25,2,"3,3%",,15,1,"4,3%","60,9",,4,1,"11,5%","14,2",,1,0,"19,3%","3,7",,0,0,"67,7%","0,5",,0,0,"72,2%","0,2",,1,0,"21,1%","3,0",,3,1,"13,7%","13,5",,1,0,"27,2%","3,1",0,0,"64,5%","0,9"
BOGOTÁ D.C.,TOTAL,683,105,"7,9%",,370,65,"9,0%","54,1",,200,44,"11,3%","29,2",,22,15,"33,8%","3,3",,21,13,"32,1%","3,1",,10,13,"70,8%","1,4",,44,18,"20,2%","6,5",,8,8,"50,1%","1,1",,2,4,"95,3%","0,3",6,7,"59,0%","0,9"
,CABECERA,680,105,"7,9%",,369,65,"9,0%","54,2",,199,44,"11,4%","29,2",,22,15,"34,0%","3,3",,21,13,"32,1%","3,1",,10,13,"71,0%","1,4",,44,18,"20,3%","6,5",,8,8,"51,0%","1,1",,2,4,"98,7%","0,3",6,7,"59,3%","0,9"
,CENTROS POBLADOS Y RURAL DISPERSO,3,0,"7,6%",,1,0,"12,3%","37,3",,1,0,"12,2%","38,0",,0,0,"34,9%","4,6",,0,0,"72,0%","0,6",,0,0,"98,0%","0,7",,0,0,"19,2%","9,1",,0,0,"35,3%","5,6",,0,0,"42,5%","3,1",0,0,"61,1%","1,1"
BOLÍVAR,TOTAL,354,22,"3,2%",,197,16,"4,1%","55,5",,74,11,"7,5%","20,8",,27,6,"10,8%","7,6",,17,6,"17,5%","4,8",,2,1,"43,4%","0,5",,14,4,"15,7%","3,9",,13,3,"14,0%","3,5",,11,3,"14,3%","3,2",1,1,"58,4%","0,2"
,CABECERA,227,22,"4,9%",,132,15,"5,8%","58,2",,53,11,"10,2%","23,4",,12,5,"20,6%","5,3",,16,6,"18,0%","7,2",,1,1,"52,2%","0,6",,7,4,"26,1%","3,2",,2,2,"49,3%","0,7",,3,2,"45,0%","1,1",1,1,"76,2%","0,3"
,CENTROS POBLADOS Y RURAL DISPERSO,128,7,"3,0%",,65,7,"5,4%","50,8",,21,3,"7,8%","16,2",,15,3,"11,4%","11,6",,1,0,"43,0%","0,4",,0,1,"70,6%","0,3",,6,2,"16,0%","5,0",,11,3,"14,3%","8,6",,9,2,"12,8%","6,8",0,0,"72,6%","0,2"
BOYACÁ,TOTAL,174,11,"3,2%",,78,8,"5,3%","44,7",,75,7,"4,8%","43,3",,5,2,"14,8%","3,2",,0,0,"52,0%","0,3",,0,0,"65,0%","0,2",,12,2,"9,2%","6,6",,3,2,"35,3%","1,5",,0,0,"99,6%","0,0",0,1,"68,6%","0,2"
,CABECERA,87,9,"5,5%",,43,7,"8,2%","49,2",,39,6,"7,8%","44,8",,1,1,"41,3%","1,0",,0,0,"52,0%","0,5",,0,0,"65,0%","0,4",,3,1,"24,3%","3,6",,0,0,.,-,,0,0,.,-,0,1,"68,6%","0,5"
,CENTROS POBLADOS Y RURAL DISPERSO,88,6,"3,4%",,35,5,"6,6%","40,2",,37,4,"5,3%","41,8",,5,1,"15,9%","5,3",,0,0,.,-,,0,0,.,-,,8,1,"8,9%","9,6",,3,2,"35,3%","2,9",,0,0,"99,6%","0,1",0,0,.,-
CALDAS,TOTAL,147,11,"3,8%",,77,8,"5,3%","52,0",,53,6,"5,8%","36,0",,2,1,"27,4%","1,6",,2,2,"36,8%","1,7",,0,0,"67,8%","0,1",,5,2,"19,7%","3,7",,4,2,"21,7%","2,7",,2,1,"26,7%","1,1",2,1,"46,7%","1,1"
,CABECERA,92,11,"6,1%",,51,8,"7,7%","55,8",,32,5,"8,8%","34,4",,1,1,"55,7%","1,0",,2,2,"37,9%","2,6",,0,0,.,-,,3,2,"30,0%","3,7",,0,1,"75,7%","0,5",,0,0,"95,8%","0,2",2,1,"47,6%","1,7"
