DEPARTAMENTO,ÁREA,SEXO,Total personas de 5 y más años,,,,Uso de computador por tipo de dispositivo,,,,,,,,,,,,,,,Usó computador** en cualquier lugar,,,,,Usó Internet en cualquier lugar y desde cualquier dispositivo,,,,,Usó teléfono celular en cualquier lugar,,,,,Escuchó la señal de radio dentro del hogar,,,,,Usó telefono celular y no tiene celular,,,,,Tiene teléfono celular,,,,,Tenencia de teléfono celular por tipo de dispositivo,,,,,,,,,,,,,
,,,,,,,Usó computador de escritorio en cualquier lugar,,,,,Usó computador portátil en cualquier lugar,,,,,Usó tableta en cualquier lugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tiene teléfono celular convencional,,,,,Tiene teléfono celular inteligente (smartphone),,,,,Tiene teléfono celular convencional e inteligente (smartphone),,,
,,,TOTAL,IC+- b/,Cve c/,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción
"TOTAL NACIONAL,TOTAL,TOTAL,48.825 ,79,""0,1%"",,9.533,263,""1,4%"",""19,5"",,10.364,390,""1,9%"",""21,2"",,1.983,147,""3,8%"",""4,1"",,16.649,409,""1,3%"",""34,1"",,37.760,253,""0,3%"",""77,3"",,44.145,136,""0,2%"",""90,4"",,20.083,291,""0,7%"",""41,1"",,6.554 ,""125,6"",""1,0%"",""13,4"",,37.591,147,""0,2%"",""77,0"",,3.743,140,""1,9%"",""7,7"",,33.962,219,""0,3%"",""69,6"",,113,46,""20,5%"",""0,2"""
",,HOMBRE,23.719 ,59,""0,1%"",,4.643,150,""1,6%"",""19,6"",,5.048,212,""2,1%"",""21,3"",,962,83,""4,4%"",""4,1"",,8.055,225,""1,4%"",""34,0"",,18.126,147,""0,4%"",""76,4"",,21.265,93,""0,2%"",""89,7"",,9.835,162,""0,8%"",""41,5"",,3.354 ,""87,1"",""1,3%"",""14,1"",,17.911,99,""0,3%"",""75,5"",,1.959,82,""2,1%"",""8,3"",,16.013,133,""0,4%"",""67,5"",,61,26,""21,4%"",""0,3"""
",,MUJER,25.106 ,57,""0,1%"",,4.890,150,""1,6%"",""19,5"",,5.316,206,""2,0%"",""21,2"",,1.021,84,""4,2%"",""4,1"",,8.594,215,""1,3%"",""34,2"",,19.634,141,""0,4%"",""78,2"",,22.881,84,""0,2%"",""91,1"",,10.249,166,""0,8%"",""40,8"",,3.200 ,""79,0"",""1,3%"",""12,7"",,19.680,87,""0,2%"",""78,4"",,1.783,76,""2,2%"",""7,1"",,17.949,120,""0,3%"",""71,5"",,52,22,""22,0%"",""0,2"""
",CABECERA,TOTAL,37.622 ,75,""0,1%"",,8.407,260,""1,6%"",""22,3"",,9.432,389,""2,1%"",""25,1"",,1.777,146,""4,2%"",""4,7"",,14.802,406,""1,4%"",""39,3"",,31.083,245,""0,4%"",""82,6"",,34.801,128,""0,2%"",""92,5"",,14.738,284,""1,0%"",""39,2"",,4.404 ,""119,2"",""1,4%"",""11,7"",,30.397,140,""0,2%"",""80,8"",,2.337,137,""3,0%"",""6,2"",,28.166,213,""0,4%"",""74,9"",,105,46,""22,1%"",""0,3"""
",,HOMBRE,17.910 ,56,""0,2%"",,4.067,148,""1,9%"",""22,7"",,4.581,211,""2,3%"",""25,6"",,852,82,""4,9%"",""4,8"",,7.120,223,""1,6%"",""39,8"",,14.744,142,""0,5%"",""82,3"",,16.459,88,""0,3%"",""91,9"",,7.061,157,""1,1%"",""39,4"",,2.267 ,""82,8"",""1,9%"",""12,7"",,14.192,94,""0,3%"",""79,2"",,1.155,79,""3,5%"",""6,5"",,13.093,130,""0,5%"",""73,1"",,56,26,""23,2%"",""0,3"""
",,MUJER,19.712 ,55,""0,1%"",,4.340,148,""1,7%"",""22,0"",,4.851,205,""2,2%"",""24,6"",,925,84,""4,6%"",""4,7"",,7.682,213,""1,4%"",""39,0"",,16.339,136,""0,4%"",""82,887"",,18.343,80,""0,2%"",""93,1"",,7.677,163,""1,1%"",""38,9"",,2.137 ,""74,6"",""1,8%"",""10,8"",,16.205,83,""0,3%"",""82,2"",,1.181,74,""3,2%"",""6,0"",,15.073,116,""0,4%"",""76,5"",,49,22,""23,4%"",""0,2"""
",CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,11.202 ,24,""0,1%"",,1.126,42,""1,9%"",""10,1"",,932,40,""2,2%"",""8,3"",,205,17,""4,2%"",""1,8"",,1.847,52,""1,4%"",""16,5"",,6.677,69,""0,5%"",""59,6"",,9.344,49,""0,3%"",""83,4"",,5.346,81,""0,8%"",""47,7"",,2.150 ,""41,9"",""1,0%"",""19,2"",,7.193,46,""0,3%"",""64,2"",,1.406,32,""1,2%"",""12,6"",,5.796,53,""0,5%"",""51,7"",,8,3,""16,2%"",""0,1"""
",,HOMBRE,5.809 ,18,""0,2%"",,576,26,""2,3%"",""9,9"",,467,24,""2,6%"",""8,0"",,110,11,""5,2%"",""1,9"",,935,32,""1,7%"",""16,1"",,3.382,41,""0,6%"",""58,2"",,4.806,30,""0,3%"",""82,7"",,2.774,47,""0,9%"",""47,8"",,1.087 ,""27,8"",""1,3%"",""18,7"",,3.719,29,""0,4%"",""64,0"",,804,22,""1,4%"",""13,8"",,2.920,33,""0,6%"",""50,3"",,5,2,""22,7%"",""0,1"""
",,MUJER,5.393 ,17,""0,2%"",,550,24,""2,2%"",""10,2"",,465,22,""2,4%"",""8,6"",,95,10,""5,1%"",""1,8"",,911,30,""1,7%"",""16,9"",,3.295,39,""0,6%"",""61,1"",,4.538,28,""0,3%"",""84,1"",,2.572,42,""0,8%"",""47,7"",,1.063 ,""27,2"",""1,3%"",""19,7"",,3.475,27,""0,4%"",""64,4"",,602,18,""1,5%"",""11,2"",,2.876,30,""0,5%"",""53,3"",,3,1,""21,3%"",""0,1"""
"AMAZONAS,TOTAL,TOTAL,76 ,1,""0,5%"",,15,2,""6,7%"",""19,0"",,14,2,""6,2%"",""18,6"",,4,1,""12,1%"",""4,9"",,21,2,""5,0%"",""27,2"",,30,2,""4,0%"",""39,3"",,45,2,""2,4%"",""59,2"",,38,3,""3,4%"",""50,4"",,11 ,""2,2"",""10,3%"",""14,3"",,34,2,""3,2%"",""44,9"",,4,1,""9,2%"",""5,6"",,30,2,""3,8%"",""39,4"",,0,0,""69,1%"",""0,1"""
