DEPARTAMENTO,ÁREA,SEXO,Total personas de 5 y más años que usaron Internet,,,,Dispositivos para acceder a Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,En el hogar,,,,,En el trabajo,,,,,En la institucion educativa,,,,,En centro de acceso público gratis,,,,,En centro de acceso público con costo (café internet),,,,,En la vivienda de otra persona,,,,,En desplazamiento de un sitio a otro,,,,,En otro sitio,,,
,,,TOTAL,IC+- b/,Cve c/,,TOTAL,IC+-,Cve c/,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción,,TOTAL,IC+-,Cve,Proporción
TOTAL NACIONAL,TOTAL,TOTAL,37.760,253,"0,3%",,35.827,293,"0,4%","94,9",,12.640,227,"0,9%","33,5",,6.257,160,"1,3%","16,6",,1.698,96,"2,9%","4,5",,1.153,80,"3,5%","3,1",,4.583,213,"2,4%","12,1",,6.499,304,"2,4%","17,2",,93,22,"12,1%","0,2"
,,HOMBRE,18.126,147,"0,4%",,17.088,172,"0,5%","94,3",,7.327,138,"1,0%","40,4",,"3125,5","98,2","0,0","17,2",,853,56,"3,4%","4,7",,585,47,"4,1%","3,2",,2.208,113,"2,6%","12,2",,3.405,163,"2,4%","18,8",,51,15,"14,9%","0,3"
,,MUJER,19.634,141,"0,4%",,18.739,156,"0,4%","95,4",,5.313,129,"1,2%","27,1",,"3131,0","97,9","0,0","15,9",,845,58,"3,5%","4,3",,568,48,"4,3%","2,9",,2.375,122,"2,6%","12,1",,3.094,163,"2,7%","15,8",,43,11,"12,9%","0,2"
,CABECERA,TOTAL,31.083,245,"0,4%",,29.776,285,"0,5%","95,8",,11.260,225,"1,0%","36,2",,"5075,4","156,7","0,0","16,3",,1.251,92,"3,8%","4,0",,928,79,"4,4%","3,0",,3.757,212,"2,9%","12,1",,5.541,305,"2,8%","17,8",,70,22,"15,8%","0,2"
,,HOMBRE,14.744,142,"0,5%",,14.039,167,"0,6%","95,2",,6.362,136,"1,1%","43,2",,"2521,8","95,6","0,0","17,1",,624,54,"4,4%","4,2",,471,46,"5,0%","3,2",,1.784,112,"3,2%","12,1",,2.861,163,"2,9%","19,4",,39,14,"19,1%","0,3"
,,MUJER,16.339,136,"0,4%",,15.737,152,"0,5%","96,3",,4.898,128,"1,3%","30,0",,"2553,6","95,6","0,0","15,6",,627,57,"4,6%","3,8",,457,47,"5,3%","2,8",,1.973,122,"3,1%","12,1",,2.680,163,"3,1%","16,4",,31,10,"17,0%","0,2"
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,6.677,69,"0,5%",,6.051,76,"0,6%","90,6",,1.380,38,"1,4%","20,7",,"1181,1","36,3","0,0","17,7",,447,29,"3,3%","6,7",,225,18,"4,1%","3,4",,826,39,"2,4%","12,4",,958,44,"2,3%","14,4",,24,5,"11,3%","0,4"
,,HOMBRE,3.382,41,"0,6%",,3.049,44,"0,7%","90,1",,964,27,"1,5%","28,5",,"603,7","23,5","0,0","17,8",,229,18,"4,0%","6,8",,114,11,"4,9%","3,4",,424,23,"2,8%","12,5",,544,26,"2,5%","16,1",,12,3,"13,2%","0,4"
,,MUJER,3.295,39,"0,6%",,3.002,42,"0,7%","91,1",,415,19,"2,3%","12,6",,"577,4","22,1","0,0","17,5",,218,15,"3,6%","6,6",,111,11,"4,9%","3,4",,403,22,"2,8%","12,2",,414,23,"2,9%","12,6",,11,3,"13,4%","0,3"
AMAZONAS,TOTAL,TOTAL,30,2,"4,0%",,22,2,"5,7%","72,2",,12,1,"6,1%","41,3",,"10,4","1,4","0,1","34,7",,4,1,"16,6%","14,7",,3,1,"12,8%","8,7",,3,1,"14,8%","10,5",,4,1,"12,4%","12,0",,0,0,"57,3%","0,2"
,,HOMBRE,16,1,"4,5%",,12,2,"6,7%","71,7",,8,1,"6,7%","47,2",,"5,5","0,9","0,1","34,5",,2,1,"18,8%","14,6",,2,0,"13,6%","9,9",,2,1,"16,2%","10,2",,2,1,"14,2%","12,9",,0,0,"69,5%","0,2"
,,MUJER,14,1,"4,4%",,10,1,"5,6%","72,7",,5,1,"7,3%","34,5",,"4,8","0,8","0,1","34,9",,2,1,"16,5%","14,8",,1,0,"18,4%","7,2",,1,1,"20,2%","10,8",,2,0,"14,3%","11,0",,0,0,"92,2%","0,1"
,CABECERA,TOTAL,20,2,"3,9%",,15,2,"5,3%","77,1",,10,1,"6,2%","50,6",,"5,9","0,8","0,1","29,9",,2,0,"10,6%","12,0",,2,1,"16,2%","8,1",,2,1,"16,7%","11,0",,3,1,"12,9%","12,9",,0,0,"57,3%","0,3"
,,HOMBRE,10,1,"4,8%",,8,1,"6,0%","75,3",,6,1,"6,2%","58,5",,"3,0","0,6","0,1","29,9",,1,0,"13,4%","12,5",,1,0,"18,5%","9,7",,1,0,"19,6%","11,3",,1,0,"14,3%","13,9",,0,0,"69,5%","0,4"
,,MUJER,10,1,"4,2%",,8,1,"5,6%","79,0",,4,1,"7,8%","42,3",,"2,9","0,4","0,1","29,9",,1,0,"12,9%","11,5",,1,0,"20,8%","6,6",,1,0,"18,5%","10,6",,1,0,"16,5%","11,8",,0,0,"92,2%","0,1"
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,10,2,"8,8%",,6,2,"14,6%","62,6",,2,1,"18,6%","23,2",,"4,5","1,1","0,1","43,9",,2,1,"33,8%","20,0",,1,0,"21,8%","9,7",,1,1,"30,0%","9,5",,1,1,"28,8%","10,4",,0,0,.,-
,,HOMBRE,6,1,"9,2%",,4,1,"15,8%","65,6",,2,1,"21,4%","28,0",,"2,5","0,7","0,1","42,2",,1,1,"37,5%","18,2",,1,0,"20,2%","10,3",,0,0,"28,6%","8,2",,1,0,"31,9%","11,2",,0,0,.,-
,,MUJER,4,1,"10,9%",,2,1,"15,1%","58,3",,1,0,"20,7%","16,4",,"2,0","0,6","0,2","46,4",,1,1,"32,8%","22,5",,0,0,"35,5%","8,8",,0,0,"49,9%","11,2",,0,0,"28,6%","9,3",,0,0,.,-
